role,age,gender,school_location,district,frequency_of_technology_use,perception_of_tech_support,benefits_of_technology,challenges_and_limitations,personalized_feedback_enhancement,student_resistance_to_technology,change_in_learning_and_engagement,motivation_to_learn,impact_on_social_skills_and_relationships,adequacy_for_students_with_disabilities,observed_changes_in_learning,support_for_essential_skills_development,promotion_of_independence_and_self_learning,increase_in_academic_performance,improvement_in_engagement_and_learning,challenges_in_digital_literacy,additional_technology_or_resources_needed,future_directions_and_possibilities,perceived_enhancement_of_learning,negative_effects_of_screen_time,positive_changes_in_collaboration_and_teamwork,decrease_in_traditional_teaching_methods,need_for_additional_teacher_training,perception_of_tech_support_semtiment,challenges_and_limitations_semtiment,change_in_learning_and_engagement_semtiment,impact_on_social_skills_and_relationships_semtiment,support_for_essential_skills_development_semtiment
Teacher,30,Male,Jafarabad,Nagar,monthly,providing interactive and engaging learning experience,"enhanced engagement, experience and motivation",technical issues; managing hardware and software problems,Yes,Yes,,Yes,,Yes,No,"coding and robotic programs, maths and logic games, that encourage and support students",Yes,Yes,Yes,Yes,"virtual and augmented reality tools, mental health and wellness resources ",technology can create customized kearning materials,extremely,Yes,No,Yes,No,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,yes technology provide problem solving ideas and support in learning,knowledgs,"light issues, and internet",Yes,No,fast learning,Yes,it provides lots of contents we can learn through many ways,Yes,Yes,,Yes,Yes,Yes,Yes,,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,yes technology provide problem solving ideas and support in learning,knowledgs,"light issues, and internet",Yes,No,fast learning,Yes,it provides lots of contents we can learn through many ways,Yes,Yes,,Yes,Yes,Yes,Yes,,,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,34,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,enhance critical thinking,internet access information,No,No,variety of ideas and activities generates,Yes,,Yes,No,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,40,Male,Rural ,Nagar,several times a week,"Technology can be used to build fundamental skills to prepare them for future independent learning
","Technology helps in hard work easier to do
","Equity issues and budget problem 
",Yes,Yes,"Technology changed the way of traditional learning and teachings 
",Yes,"Excessive use of technology can also foster a sense of isolation.
",Yes,Yes,"Technology provides the opportunity of providing 
personalized skills improvement ",Yes,No,Yes,No,"WiFi, internet access and building 
","Online grading system and students engagement 
",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Rural,Nagar ,several times a week,"Technology helps in learning through program related to the content 
","providing suitable feedback 
","High usage of technology, addiction and medical issues 
",Yes,No,"Technology support us in difficult questions 
",Yes,"Technology negatively impact on my social relationship 
",No,Yes,With the help of creative Apps ,Yes,Yes,Yes,Yes,"Videos should be their with related to the contents
","Proper internet facility and WiFi system 
",very,Yes,Yes,No,Yes,Positive,Positive,Positive,Negative,Positive
Teacher,28,Female,Rural ,Nagar ,several times a week,"Visual poems and many other educational programs 
","Technology using increase understandings
",Medical issues ,No,No,"Technology helps me in better understanding of the content 
",Yes,"Negative impacts on social relationships
",Yes,Yes,"Self based learning improves creativity 
",Yes,No,Yes,No,"Power point lectures and visual aids related to the content 
",,very,Yes,Yes,No,No,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Karimabad,Hunza,daily,,"Integration,real stories and interaction intellectual information.",social media can effectively involve if it is missed use.,Yes,No,It enhance our lesson activities.,Yes,Time limitation restuction.,Yes,Yes,It create critical thinking and develop a holistic approch by seeing the object from real life or daily life.,Yes,Yes,Yes,Yes,Integration labs are benefical for lesson.,Effective lesson design by the teacher using technology like LMS.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,The use of technology during whole class interaction can foster. Students can use spelling phonetic and reading skill.,"Students develop crucial skills such as digital literacy, critcal thinking creativity.",Technology in education can reduce face to face social interaction student might also miss developing imporant communication and team works skills.,Yes,No,Student can collabrate on group project using technology based tools use interactive displays to do fun games and with there larning materials .,Yes,The technology impact on our social skill its also impact on ours studys and online works it also impact on skills and relationship.,Yes,Yes,"To improve your crtical thiking, you need to be able to filter verity and synthesize the information you take online .",Yes,Yes,Yes,No,Prepare student for the future we connect with student any time .,Student can practice desnging prolem solving. ,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Positive,Negative
Teacher,35,Female,Karimabad,Hunza,daily or weekly,,Students  can learn easily and they can cope easily with daily life situation.,No any challenge if every facility is avaible.,Yes,Yes,Of course.,Yes,Sometimes students force their parents to buy mobile and other gadgets and they use social media and not intereted in their studies.,Yes,Yes,Technology mostly develops students creativity.,No,Yes,Yes,Yes,Project based teaching and integration of technology in classroom.,Technology should be part of syllabus.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,18,Female,Nagar Khas,Nagar,several times a week,"through technology primary students learn from vedios, practicals and colorful things",it is good for primary school because it prefer more practical,,Yes,Yes,it saves time and gives us more knowledge ,Yes,we can earn money through freelancing and we can contact with different websites for the pourpose of jobs,Yes,Yes,,Yes,Yes,Yes,No,,it will become disaster for students,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,34,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,enhance critical thinking,internet access information,No,No,variety of ideas and activities generates,Yes,,Yes,No,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,45,Female,Rural ,Nagar ,rarely,"Yes technology plays vital role in support the fulfillment of students primary objectives 
","Helps in motivating and clear concept 
","Internet access issue 
",Yes,Yes,"Technology changed the way of learning and understanding 
",No,"Technology helped me in connect myself with friends sitting in One place 
",No,Yes,"Students takes ideals in their interest through technology 
",Yes,No,Yes,No,"Internet access and building 
","Students have to read lots of books instead of technology 
",moderately,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,36,Female,Karimabad,Hunza,several times a week,,Use of ICT enhance our skills related to digital work.This can be maximized by arranging time or period to attaine ICT classes.,Students become addict of screen and they loss to think and solve problems by themselves and totally dependent on ICT.,Yes,No,We study online,No,I am able to work for my school ICT team.,No,Yes,We used ICT to enhance skills of our children but in controlled manner or in specific time not in such a way that they use ICT and dependent on it.,No,Yes,Yes,Yes,Multimedia,Maybe their will be no schools.,extremely,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,,several times a week,,,,Yes,No,,Yes,,Yes,Yes,,Yes,Yes,Yes,No,,,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,28,Female,Aliabad,Hunza,monthly,Technology can help teachers and students in effective learning taking help while using teachnolgy in classroom can incerase the motivation and interest toward learning .,"Increase motivation, access to vast learning materials, easy to learn and teach.",Lack of teachnological literacy can cause bigger challenges for teacher.,Yes,Yes,Technonlogy has drastically changed the processes of teaching learning process through varous tools and IT. It has helped teacher to make learning easier for everone.,Yes,Teacher role has become more modified in the digital era. The potential impact of technology are very postive insense of it makes lerning earies and intersting ,Yes,Yes,Various learning wibsites onlines quizes can help student to enchance there skill.,Yes,Yes,Yes,Yes,"Digiltal boards,LMS and IT labs with modern gadgets.",More tarning and digital literacy courses.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,20,Female,Nagar Khas,Nagar,daily,tecnology can give space to explore and enhance ones knowledge,in this era its most important element ,,Yes,Yes,in several ways it has change,Yes,techonolgy has change our social skill in verbal form rather than practical participation,Yes,Yes,we can use technology to enhance learning,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Karimabad,Hunza,weekly,Technology can best support the learning objective in different angle. Teacher and students can learn the objective by different method.,Use different method for learning and teaching.,Student become used to visual activities.,Yes,No,We learn alot through technology and we do partical work.,Yes,Developed our speaking and reading skills.,Yes,No,Only lecture and lab is not enough area for learning using technology provide attraction toward learning,No,Yes,Yes,Yes,LMS system in classroom would benefit the classroom.,Attractive teaching and learning environment through technology.,moderately,Yes,Yes,Yes,Yes,Neutral,Positive,Positive,Positive,Negative
Teacher,29,Female,Karimabad,Hunza,several times a week,They can learn new staff.,Listening skill and speaking skill.,Due to weak signls we rae facing challenges.,Yes,No,We easy convey message through technology.,Yes,We are always in connect with the good relation.,Yes,Yes,When they watched educational vedioes.,No,Yes,Yes,No,LEDs in every class with internet .,"LED,computer ,electricity and digital classes.",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,27,Female,Nagar Khas,Nagar,rarely,"the student can get interest in Tv, mobile and not feel so bored",,,Yes,No,,Yes,,Yes,Yes,,Yes,No,Yes,No,LEDs and lectures are important ,,slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Male,Nagar Khas,Nagar,weekly,"technology play crucial role to enhance student quick learning, it save time and money",play an important role and it has a lot of benefits in primary education ,managing computer in classroom ,No,No,students gradually forget their hand writing and spelling it also lost their learning by tongue oral,Yes,physically technology has issolated from society too much depend on technology causes of stress and depression,Yes,Yes,provide variety of ideas and thoughts on some topics,No,Yes,Yes,Yes,proper internet connection with computer and LEDs,with the passage of time technology will increase and developed,very,Yes,Yes,Yes,Yes,Positive,Positive,Negative,Negative,Positive
Teacher,35,Female,Karimabad,Hunza,daily or weekly,,Students  can learn easily and they can cope easily with daily life situation.,No any challenge if every facility is avaible.,Yes,Yes,Of course.,Yes,Sometimes students force their parents to buy mobile and other gadgets and they use social media and not intereted in their studies.,Yes,Yes,Technology mostly develops students creativity.,No,Yes,Yes,Yes,Project based teaching and integration of technology in classroom.,Technology should be part of syllabus.,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,45,Female,Rural ,Nagar ,rarely,"Yes technology plays vital role in support the fulfillment of students primary objectives 
","Helps in motivating and clear concept 
","Internet access issue 
",Yes,Yes,"Technology changed the way of learning and understanding 
",No,"Technology helped me in connect myself with friends sitting in One place 
",No,Yes,"Students takes ideals in their interest through technology 
",Yes,No,Yes,No,"Internet access and building 
","Students have to read lots of books instead of technology 
",moderately,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Female,Nilt nagar,Nagar,several times a week,student can use interactive games to reinforce reading skills,educational technology enhance the learning experience providing greater accesibility,technology in education can reduce face to face,Yes,No,,Yes,technology change learning skill as well ,Yes,Yes,,Yes,Yes,Yes,Yes,"multimedia, computer",hold immense promise with posibilities,very,No,No,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Nagar Khas,Nagar,daily,the modern era of student are attract technology provide online learning plateform,lake of traning of teacher in school,lake of financial credit to manage technology,Yes,Yes,now a days we are totally depemd on technology to learn th lesson,Yes,use of technology issolated from relatives,No,Yes,technology increases learning skills communication and other IT knowledge ,No,Yes,Yes,No,in all primary schools their should be a computer lab,in future students will depend on technolgy due to its need,slightly,Yes,Yes,Yes,Yes,Positive,Positive,Negative,Negative,Positive
Teacher,30,Male,Nilt nagar,Nagar,several times a week,technology provides students to a vast amount of information and resources ,"develop basic skills, collection of information, create socialization","economic, ethical, lake of usage of resources",Yes,Yes,provide online resources,Yes,no,No,Yes,support the student and create critical thinking,Yes,Yes,Yes,Yes,"projector, sound desks, recorder",student can collaborate on group projects using technology,moderately,Yes,Yes,Yes,Yes,Positive,Positive,Positive,Negative,Positive
Teacher,31,Male,Nagar Khas,Nagar,several times a week,"we can use the techonology equipments in primary level, some time to improve the education",mulimedia can use primary school education for the effective learning,with the help of technology we can enhance the primary level of education,No,No,technology is a tool which change learning skill as well,Yes,technology is a most potential which impact on our skill,No,Yes,off cousre technology can help me all aspect of the primry level,Yes,No,Yes,No,multimedia and use of internet facility,technology help the overthinking level ,very,Yes,No,Yes,No,Negative,Positive,Positive,Positive,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,technology is best resources of learning it quick acess and provide in depth  knwoldge about lesson,students learns how to use tecnology and and its importance with the help of such facilities ,lack of awarness and training,Yes,No,it provide  us everything promptly,Yes,It has  many great lessons,No,Yes,It help to learn the things quickly. Students know how to use technology,No,No,Yes,No,"Computer Lab, Multimedia, and other Basic equipment.",in future students will totally depend on technology,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,17,Female,Jafarabad,Nagar,weekly,technology can help students to solve their problems,it enhnace learning,,Yes,No,it provide  us everything promptly,Yes,become part of our life day by day,Yes,Yes,technology needs us to develop critical thinking,Yes,Yes,Yes,Yes,LEDs and lectures are important ,,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
Teacher,30,Female,Nagar Khas,Nagar,daily,technology is a best for students,,,Yes,Yes,several ways technology was changed,Yes,,Yes,Yes,enhance problem solving capacity,Yes,No,No,Yes,practical and team work,,not at all,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Parent,37,Female,Nilt nagar,Nagar,monthly,student can use interactive games to reinforce reading skills,enhance memorization,inflation and maintainance,Yes,No,,Yes,enhance learning capacity,Yes,Yes,"problem solving skills, understanding skills",Yes,Yes,Yes,Yes,projector and multimedia,,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,,,,Yes,No,Technology play a vital role in our life we learn so many thing from all over the world.,Yes,"Online business, online games and connect with our family and friends by using mobile phones.",Yes,Yes,,Yes,Yes,Yes,Yes,,,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,E learning provide high support to obtain educational goals,easy to learn,,Yes,Yes,techonology make faster than contnt learning,Yes,impect of technology in social skill and relationship create distance and some where its possisive,No,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, multimadia",technology will play fundemental role in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,E learning provide high support to obtain educational goals,easy to learn,,Yes,Yes,techonology make faster than contnt learning,Yes,impect of technology in social skill and relationship create distance and some where its possisive,No,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, multimadia",technology will play fundemental role in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,35,Male,Nagar Khas,Nagar,weekly,,It increases students interest in learning,Excessive use of technology may lead far from activities,Yes,Yes,,Yes,,No,Yes,It increases students focus through graphic contents ,No,Yes,Yes,Yes,Internet facilities and use of melti media in class,every class should be equip with new  technology,slightly,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,31,Female,Nagar Khas,Nagar,weekly,E learning provide high support to obtain educational goals,easy to learn,,Yes,Yes,techonology make faster than contnt learning,Yes,impect of technology in social skill and relationship create distance and some where its possisive,No,Yes,we can use technology to enhance learning,Yes,Yes,Yes,Yes,"projector, multimadia",technology will play fundemental role in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Student,16,Male,Nagar Khas,Nagar,several times a week,technology allows to interactive learning through educational apps and other things,adaptive learning platform can lessons to the individuals need and peace of students,through the technology student waste their time play games and watch unwanted things,Yes,No,"use of technological tools cvan make learning more fun, helping to reinforce concepts",Yes,the technology reinforce concept of students and encourage students work together,Yes,Yes,,Yes,Yes,Yes,No,"laptops, multimedia, and wifi are benefit to learn",technology is very important and the usage of it to moniter learning child need additional support,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,45,Female,Rural ,Nagar ,rarely,"Yes technology plays vital role in support the fulfillment of students primary objectives 
","Helps in motivating and clear concept 
","Internet access issue 
",Yes,Yes,"Technology changed the way of learning and understanding 
",No,"Technology helped me in connect myself with friends sitting in One place 
",No,Yes,"Students takes ideals in their interest through technology 
",Yes,No,Yes,No,"Internet access and building 
","Students have to read lots of books instead of technology 
",moderately,Yes,No,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,41,Male,Nagar Khas,Nagar,monthly,,it attract student and provide information quickly,cannot use technology properly,Yes,No,"technology stimulates students sense, animated graphics clear their concepts",Yes,by using social media we can improve our social skills by watching vedios,No,Yes,by using graphic tools their creativity skills increased,Yes,Yes,Yes,Yes,projector will be beneficial fro students,technology improve learning and teachning,very,Yes,No,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,29,Female,Rural ,Nagar,daily,"Students learn better 
","It is beneficial for both teachers and students they can easily get information 

","Access to the relevant knowledge, 
support and students engagement ",No,No,"Technology enables new ways of learning 
",No,"Technology totally disturbs the social relationships 
",No,Yes,"Technology provides the platform where everyone can nourish their skills 
",No,No,Yes,No,"Library, Computer Lab and Multimedia 
","Specialized training for teachers in school 
",extremely,Yes,No,Yes,No,Positive,Positive,Positive,Negative,Positive
Teacher,20,Female,Nagar Khas,Nagar,daily,tecnology can give space to explore and enhance ones knowledge,in this era its most important element ,,Yes,Yes,in several ways it has change,Yes,techonolgy has change our social skill in verbal form rather than practical participation,Yes,Yes,we can use technology to enhance learning,Yes,No,Yes,No,"projector, excel,are used",technology should used in primary education,very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Female,Aliabad,Hunza,several times a week,The use of technology during whole class interaction can foster. Students can use spelling phonetic and reading skill.,"Students develop crucial skills such as digital literacy, critcal thinking creativity.",Technology in education can reduce face to face social interaction student might also miss developing imporant communication and team works skills.,Yes,No,Student can collabrate on group project using technology based tools use interactive displays to do fun games and with there larning materials .,Yes,The technology impact on our social skill its also impact on ours studys and online works it also impact on skills and relationship.,Yes,Yes,"To improve your crtical thiking, you need to be able to filter verity and synthesize the information you take online .",Yes,Yes,Yes,No,Prepare student for the future we connect with student any time .,Student can practice desnging prolem solving. ,very,Yes,Yes,No,Yes,Positive,Negative,Negative,Positive,Negative
Teacher,28,Female,Rural ,Nagar ,daily,"Learning objectives achieved by technological usage 
","Better improvement in students learning 
","Electricity and internet issues 
",No,No,Yes at wide range ,Yes,Positive and negative impacts both ,No,Yes,"providing suitable internet access 
",No,Yes,No,No,"Usage of technology and other resources for teachers development  of lectures 

","Technology should be used in primary section 
",slightly,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Student,16,Male,Nagar Khas,Nagar,several times a week,technology allows to interactive learning through educational apps and other things,adaptive learning platform can lessons to the individuals need and peace of students,through the technology student waste their time play games and watch unwanted things,Yes,No,"use of technological tools cvan make learning more fun, helping to reinforce concepts",Yes,the technology reinforce concept of students and encourage students work together,Yes,Yes,,Yes,Yes,Yes,No,"laptops, multimedia, and wifi are benefit to learn",technology is very important and the usage of it to moniter learning child need additional support,very,Yes,Yes,No,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,47,Female,Aliabad,Hunza,weekly,"With the help of technology,learners can access a wealth of information and resources related to demond such as,new vedioes and interactive tools.","Quick information exchange,developing basic skills encouraging love for learning.","Hardware issues, software issuse, internet can interrupt learning.",Yes,Yes,"Enabled more effective communcation, collaboration and shavring of learning material among students through tools.",Yes,"Technology is used in every field of our life like reading, writing, learning, it also inchance our social skills. Technology done our works in a seconds. Now a days technology is mostly used in online marketing.",Yes,Yes,,Yes,Yes,Yes,Yes,Different outdoor activities related to students.,Technology In primary education are very important.,moderately,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Positive
Teacher,40,Female,Karimabad,Hunza,weekly,Technology can best support the learning objective in different angle. Teacher and students can learn the objective by different method.,Use different method for learning and teaching.,Student become used to visual activities.,Yes,No,We learn alot through technology and we do partical work.,Yes,Developed our speaking and reading skills.,Yes,No,Only lecture and lab is not enough area for learning using technology provide attraction toward learning,No,Yes,Yes,Yes,LMS system in classroom would benefit the classroom.,Attractive teaching and learning environment through technology.,moderately,Yes,Yes,Yes,Yes,Neutral,Positive,Positive,Positive,Negative
Teacher,30,Female,Nagar Khas,Nagar,several times a week,,,,Yes,No,,Yes,social gap between family and work,No,Yes,it helps the student and it will five ideas and road maps,Yes,Yes,Yes,Yes,yes because a child enjoy and learn new things from vedios,in future the child learn from technology and no any concept of teacher,extremely,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,30,Male,Nagar Khas,Nagar,weekly,"yes, Technology can suppport in learning objectives  of primary studennts in many aspects like audios, visual , Ads and documents","By using audios, visual, ads , computer, and projectors",in most of school computer is available and other technology accessories,Yes,Yes,,Yes,"By watching, videos on social skills that improve skills",No,Yes,"yes by playing games,problem skills and improvement",Yes,Yes,Yes,No,Projectors and Audio visual Aids.,Government should provide  internet connection in school,slightly,Yes,No,Yes,No,Positive,Positive,Positive,Positive,Positive
Teacher,30,Female,Aliabad,Hunza,weekly,Picture is more effective as camper to words.,"More imformative, saving of time, and more learning.","Electric problem, short time and lack of resources",Yes,No,It is easy to learn.,No,I am active and responsble to work or study online,No,Yes,Because technology is based on research and thesis.,Yes,Yes,Yes,No,"Internet, projecter to deliver lectures.","Time killer, depend on mobile and other sources and lazy.",moderately,Yes,Yes,No,Yes,Positive,Negative,Positive,Negative,Positive
Teacher,35,Female,Aliabad,Hunza,several times a week,It captures the intrest of students which results in effective learning.,"It enhances listing, reading, writing and speaking skills.","Interaption of internet, irrelevant data for young children , writing skills will be ignore ",Yes,No,Technology change the way we learn about thing. Technology make our works easy. Technology the way we think .,Yes,The technology impact is very easy to work quick. Technology do faster from us.,Yes,No,As primary studets are not much eligible to takle with technology for crtical thinking etc.,No,Yes,Yes,No,"Chrom books, referance books.","AI, tablets and chrom book .",very,Yes,Yes,Yes,Yes,Positive,Negative,Positive,Positive,Negative
